Month,All items,"All items, less fresh food","All items, less imputed rent","All items, less imputed rent and fresh food","All items, less fresh food and energy","All items, less food (less alcoholic beverages) and energy ",Food,Fresh food,"Food, less fresh food ",Cereals,Fish and seafood,Fresh fish and seafood,Meats,Dairy products and eggs,Vegetables and seaweeds,Fresh vegetables,Fruits,Fresh fruits,"Oils, fats and seasonings",Cakes and candies,Cooked food,Beverages,Alcoholic beverages,Meals outside the home,Housing,"Housing, less imputed rent",Rent,"Rent, less imputed rent",Repairs and maintenance,"Fuel, light and water charges",Electricity,Gas,Other fuel and light,Water and sewerage charges,Furniture and household utensils,Household durable goods,Interior furnishings,Bedding,Domestic utensils,Domestic non durable goods,Domestic services,Clothes and footwear,Clothes,Japanese clothing,Clothing,"Shirts, sweaters and underwear",Shirts and sweaters,Underwear,Footwear,Other clothing,Services related to clothing,Medical care,Medicines and health fortification,Medical supplies and appliances,Medical services,Transportation and communication,Public transportation,Private transportation,Communication,Education,School fees,School textbooks and reference books for study,Tutorial fees,Culture and recreation,Recreational durable goods,Recreational goods,Books and other reading materials,Recreational services,Miscellaneous,Personal care services,Toilet articles,Personal effects,Tobacco,Other miscellaneous,Energy,Expenses for education,Expenses for culture and recreation,Expenses for information and communication
2000/01/01,99.2 ,99.8 ,98.7 ,99.5 ,102.1 ,104.6 ,93.0 ,84.3 ,94.7 ,103.9 ,89.6 ,91.7 ,81.7 ,92.1 ,86.4 ,80.0 ,81.1 ,80.0 ,105.3 ,89.4 ,90.0 ,121.6 ,107.9 ,92.1 ,101.6 ,101.8 ,102.0 ,104.6 ,99.0 ,80.9 ,86.5 ,76.6 ,54.4 ,88.2 ,141.3 ,262.4 ,139.1 ,114.2 ,97.2 ,114.1 ,95.3 ,99.0 ,100.5 ,109.7 ,99.7 ,97.6 ,98.0 ,96.5 ,98.5 ,104.6 ,90.1 ,98.9 ,112.0 ,126.8 ,85.0 ,99.5 ,91.5 ,91.7 ,129.8 ,100.1 ,104.7 ,81.5 ,90.0 ,119.9 ,1057.8 ,109.0 ,92.9 ,96.3 ,87.1 ,97.4 ,108.5 ,75.1 ,58.7 ,84.9 ,77.8 ,98.5 ,117.1 ,
2000/02/01,98.9 ,99.6 ,98.4 ,99.2 ,101.9 ,104.4 ,92.7 ,82.7 ,94.8 ,104.0 ,89.0 ,90.9 ,81.5 ,93.1 ,83.9 ,76.1 ,82.3 ,81.3 ,105.5 ,89.3 ,90.2 ,122.0 ,108.0 ,92.1 ,101.7 ,101.8 ,102.2 ,104.6 ,98.9 ,80.8 ,86.5 ,76.5 ,54.3 ,88.3 ,140.7 ,259.9 ,138.4 ,114.1 ,97.1 ,113.8 ,95.3 ,96.9 ,97.2 ,109.4 ,96.0 ,95.2 ,94.7 ,95.8 ,98.6 ,104.1 ,90.1 ,98.7 ,112.0 ,125.8 ,85.0 ,99.3 ,90.9 ,91.7 ,129.6 ,100.1 ,104.7 ,81.5 ,90.0 ,119.6 ,1033.9 ,109.1 ,92.8 ,96.2 ,87.1 ,97.4 ,108.5 ,75.1 ,58.7 ,84.9 ,77.7 ,98.5 ,116.6 ,
2000/03/01,99.1 ,99.8 ,98.7 ,99.4 ,102.1 ,104.7 ,92.7 ,84.3 ,94.4 ,103.9 ,89.2 ,91.5 ,81.4 ,93.8 ,86.5 ,80.1 ,81.0 ,80.0 ,105.0 ,89.3 ,90.3 ,121.7 ,107.9 ,91.1 ,101.7 ,101.7 ,102.1 ,104.4 ,98.8 ,80.9 ,86.5 ,76.5 ,54.6 ,88.3 ,139.9 ,257.1 ,137.9 ,114.1 ,96.9 ,113.5 ,95.3 ,99.8 ,102.8 ,109.3 ,102.2 ,96.1 ,95.7 ,96.7 ,99.9 ,104.8 ,90.1 ,98.6 ,111.9 ,125.3 ,85.0 ,99.6 ,92.2 ,91.7 ,129.6 ,100.2 ,104.7 ,81.5 ,90.3 ,120.3 ,1024.3 ,109.9 ,92.8 ,97.1 ,87.0 ,97.5 ,108.5 ,74.7 ,58.7 ,84.9 ,77.9 ,98.5 ,117.6 ,
2000/04/01,99.3 ,100.0 ,98.9 ,99.6 ,102.2 ,104.9 ,92.5 ,83.7 ,94.4 ,103.9 ,89.8 ,92.4 ,81.2 ,93.4 ,84.6 ,77.1 ,82.4 ,81.5 ,104.9 ,89.4 ,90.3 ,121.7 ,107.8 ,90.9 ,101.5 ,101.7 ,102.0 ,104.4 ,98.8 ,81.5 ,87.0 ,77.1 ,55.1 ,89.1 ,139.9 ,257.1 ,138.1 ,113.1 ,96.5 ,113.7 ,95.5 ,103.3 ,106.1 ,109.3 ,105.8 ,103.0 ,105.9 ,96.2 ,99.7 ,106.0 ,90.1 ,99.2 ,111.9 ,125.5 ,86.0 ,99.2 ,91.9 ,91.8 ,127.1 ,101.1 ,106.1 ,81.8 ,90.2 ,119.7 ,1020.5 ,108.2 ,92.8 ,97.1 ,87.0 ,97.6 ,108.3 ,74.5 ,58.7 ,85.2 ,78.5 ,99.3 ,117.0 ,
2000/05/01,99.4 ,100.2 ,99.0 ,99.8 ,102.4 ,105.2 ,92.3 ,82.6 ,94.3 ,103.9 ,88.1 ,89.3 ,80.9 ,93.4 ,82.3 ,73.6 ,87.8 ,87.1 ,104.9 ,89.3 ,90.1 ,121.5 ,107.8 ,90.9 ,101.9 ,101.7 ,102.4 ,104.6 ,98.7 ,81.6 ,87.0 ,77.2 ,55.3 ,89.2 ,139.6 ,255.1 ,138.1 ,113.5 ,96.6 ,113.6 ,95.5 ,104.3 ,108.0 ,109.2 ,108.0 ,103.7 ,107.1 ,96.1 ,99.7 ,106.0 ,90.1 ,99.1 ,111.8 ,125.0 ,86.0 ,99.3 ,92.2 ,91.9 ,127.1 ,101.2 ,106.1 ,81.8 ,90.2 ,120.7 ,990.8 ,108.8 ,92.9 ,98.7 ,87.0 ,97.6 ,108.3 ,74.4 ,58.7 ,85.2 ,78.5 ,99.3 ,117.9 ,
2000/06/01,99.2 ,100.0 ,98.7 ,99.6 ,102.2 ,104.9 ,92.2 ,82.5 ,94.2 ,103.9 ,86.2 ,86.5 ,80.9 ,91.5 ,83.4 ,75.3 ,88.6 ,88.0 ,104.3 ,89.1 ,90.2 ,121.6 ,107.8 ,91.1 ,101.9 ,101.7 ,102.4 ,104.6 ,98.7 ,81.6 ,87.0 ,77.2 ,55.4 ,89.3 ,139.2 ,253.3 ,138.1 ,114.0 ,96.4 ,113.5 ,95.8 ,104.1 ,107.6 ,109.2 ,107.5 ,103.6 ,106.8 ,96.6 ,99.4 ,105.9 ,90.1 ,99.0 ,111.8 ,124.5 ,86.0 ,99.2 ,92.1 ,92.0 ,126.5 ,101.2 ,106.1 ,81.8 ,90.2 ,119.1 ,971.7 ,107.7 ,92.9 ,97.2 ,86.9 ,97.6 ,108.1 ,74.2 ,58.7 ,85.2 ,78.7 ,99.3 ,116.5 ,
2000/07/01,98.9 ,99.8 ,98.4 ,99.4 ,101.9 ,104.7 ,91.6 ,79.9 ,94.0 ,103.7 ,86.5 ,86.9 ,80.9 ,90.7 ,82.0 ,73.4 ,80.8 ,79.9 ,104.4 ,89.0 ,90.2 ,121.0 ,107.7 ,91.0 ,101.9 ,101.7 ,102.4 ,104.6 ,98.7 ,82.1 ,87.8 ,77.7 ,55.4 ,89.3 ,138.5 ,251.3 ,137.4 ,113.6 ,96.2 ,112.7 ,95.8 ,100.4 ,103.1 ,108.9 ,102.7 ,98.6 ,99.6 ,96.3 ,98.4 ,103.9 ,90.1 ,99.1 ,111.8 ,124.6 ,86.0 ,99.4 ,92.4 ,92.2 ,126.2 ,101.2 ,106.1 ,81.8 ,90.2 ,119.9 ,960.2 ,107.5 ,92.9 ,98.7 ,86.8 ,97.6 ,108.1 ,73.7 ,58.7 ,85.2 ,79.2 ,99.3 ,117.3 ,
2000/08/01,99.2 ,99.9 ,98.7 ,99.5 ,102.0 ,104.8 ,92.1 ,83.0 ,94.0 ,103.7 ,87.8 ,89.4 ,81.1 ,90.3 ,83.3 ,75.2 ,86.5 ,85.7 ,103.9 ,88.9 ,90.1 ,121.1 ,107.5 ,91.1 ,101.8 ,101.6 ,102.4 ,104.6 ,98.6 ,82.1 ,87.8 ,77.7 ,55.5 ,89.3 ,138.1 ,249.8 ,137.0 ,113.0 ,96.0 ,112.2 ,95.8 ,98.0 ,100.1 ,108.8 ,99.3 ,95.6 ,95.2 ,96.3 ,97.4 ,103.2 ,90.1 ,99.0 ,111.7 ,124.3 ,86.0 ,99.8 ,94.1 ,92.2 ,126.2 ,101.2 ,106.1 ,81.8 ,90.2 ,121.7 ,941.1 ,107.9 ,93.0 ,101.8 ,86.7 ,97.7 ,108.0 ,73.6 ,58.7 ,85.2 ,79.3 ,99.3 ,119.4 ,
2000/09/01,99.1 ,99.8 ,98.6 ,99.4 ,101.9 ,104.7 ,92.2 ,83.8 ,93.9 ,103.3 ,87.2 ,88.0 ,81.1 ,90.9 ,87.4 ,81.4 ,82.0 ,81.1 ,103.8 ,89.1 ,89.8 ,120.8 ,107.5 ,90.9 ,101.8 ,101.7 ,102.4 ,104.6 ,98.6 ,82.1 ,87.8 ,77.7 ,55.7 ,89.3 ,137.5 ,247.8 ,137.0 ,112.7 ,95.9 ,112.0 ,95.8 ,102.8 ,105.2 ,107.9 ,105.1 ,103.1 ,105.8 ,96.8 ,98.8 ,104.8 ,90.1 ,98.9 ,111.5 ,124.0 ,86.0 ,99.3 ,92.2 ,92.2 ,126.1 ,101.2 ,106.1 ,81.8 ,90.2 ,119.2 ,906.7 ,107.9 ,93.0 ,98.6 ,86.8 ,97.7 ,108.1 ,73.7 ,58.7 ,85.2 ,79.4 ,99.3 ,116.6 ,
2000/10/01,99.1 ,99.6 ,98.5 ,99.2 ,101.8 ,104.5 ,92.5 ,85.5 ,93.9 ,102.7 ,85.7 ,85.6 ,81.1 ,91.6 ,89.3 ,84.4 ,87.1 ,86.4 ,103.9 ,89.4 ,89.7 ,121.0 ,107.5 ,90.9 ,101.9 ,101.7 ,102.4 ,104.7 ,98.6 ,80.9 ,84.3 ,78.2 ,57.3 ,89.4 ,137.2 ,246.3 ,137.2 ,112.5 ,95.9 ,111.8 ,95.8 ,103.9 ,107.6 ,108.0 ,107.7 ,103.2 ,105.9 ,96.8 ,98.8 ,106.8 ,90.0 ,98.9 ,111.4 ,124.1 ,86.0 ,99.4 ,92.2 ,92.9 ,124.3 ,101.2 ,106.1 ,81.8 ,90.2 ,117.7 ,871.3 ,107.3 ,93.0 ,97.1 ,86.8 ,97.7 ,108.1 ,73.6 ,58.7 ,85.2 ,78.8 ,99.3 ,115.2 ,
2000/11/01,98.8 ,99.6 ,98.2 ,99.1 ,101.7 ,104.5 ,91.9 ,82.2 ,93.8 ,102.2 ,86.7 ,86.9 ,81.1 ,91.4 ,85.4 ,78.5 ,81.8 ,80.9 ,103.6 ,89.2 ,89.5 ,120.7 ,107.6 ,90.9 ,102.0 ,101.7 ,102.5 ,104.7 ,98.5 ,81.1 ,84.3 ,78.3 ,59.3 ,89.4 ,137.0 ,245.0 ,137.2 ,112.7 ,96.1 ,111.7 ,95.8 ,104.0 ,108.0 ,107.9 ,108.2 ,102.9 ,105.4 ,97.1 ,98.7 ,107.2 ,90.1 ,98.8 ,111.4 ,123.8 ,86.0 ,99.4 ,92.0 ,92.9 ,124.3 ,101.2 ,106.1 ,81.8 ,90.2 ,117.0 ,856.9 ,107.4 ,92.8 ,96.3 ,86.8 ,97.7 ,108.2 ,73.6 ,58.7 ,85.2 ,79.1 ,99.3 ,114.5 ,
